"endTime","artistName","trackName","msPlayed","isPodcast"
"2021-03-31 16:23","Blue Öyster Cult","Then Came the Last Days of May",7360,"No"
"2021-03-31 16:23","Blue Öyster Cult","I Love the Night",263920,"No"
"2021-03-31 16:40","Blue Öyster Cult","True Confessions",171500,"No"
"2021-04-01 11:19","Rush","Subdivisions (Live on Clockwork Angels Tour)",339373,"No"
"2021-04-01 11:25","Rush","The Big Money (Live on Clockwork Angels Tour)",362306,"No"
"2021-04-01 11:31","Rush","Force Ten (Live on Clockwork Angels Tour)",335426,"No"
"2021-04-01 11:36","Rush","Grand Designs (Live on Clockwork Angels Tour)",315773,"No"
"2021-04-01 11:41","Rush","The Body Electric (Live on Clockwork Angels Tour)",292066,"No"
"2021-04-01 11:48","Rush","Territories (Live on Clockwork Angels Tour)",406653,"No"
"2021-04-01 11:53","Rush","The Analog Kid (Live on Clockwork Angels Tour)",324586,"No"
"2021-04-01 11:59","Rush","Bravado - Live",346426,"No"
"2021-04-01 12:07","Rush","Where's My Thing? / Here It Is! (Drum Solo) [Live on Clockwork Angels Tour]",503440,"No"
"2021-04-01 12:13","Rush","Far Cry",333626,"No"
"2021-04-01 12:18","Rush","Caravan (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",342413,"No"
"2021-04-01 12:27","Rush","Clockwork Angels (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",492640,"No"
"2021-04-01 12:34","Rush","The Anarchist (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",419773,"No"
"2021-04-01 12:39","Rush","Carnies (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",316386,"No"
"2021-04-01 12:44","Rush","The Wreckers (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",327733,"No"
"2021-04-01 12:53","Rush","Headlong Flight (with Clockwork Angels String Ensemble) / Drumbastica [Drum Solo] [Live on Clockwork Angels Tour]",497173,"No"
"2021-04-01 12:58","Rush","Peke's Repose (Guitar Solo) / Halo Effect [with Clockwork Angels String Ensemble] [Live on Clockwork Angels Tour]",315173,"No"
"2021-04-01 17:55","Rush","Seven Cities of Gold (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",67717,"No"
"2021-04-02 13:54","Rush","The Big Money",334493,"No"
"2021-04-02 13:59","Rush","Grand Designs",305800,"No"
"2021-04-02 14:04","Rush","Manhattan Project",304866,"No"
"2021-04-02 14:53","Rush","Marathon",369533,"No"
"2021-04-02 14:59","Rush","Territories",379093,"No"
"2021-04-02 15:17","Rush","Middletown Dreams",315373,"No"
"2021-04-02 15:22","Rush","Emotion Detector",310426,"No"
"2021-04-02 23:25","Rush","Mystic Rhythms",312934,"No"
"2021-04-03 21:12","David Gilmour","Echoes - Live in Gdansk",1514040,"No"
"2021-04-03 21:26","Rush","The Camera Eye",658986,"No"
"2021-04-03 22:19","Rush","Mystic Rhythms",353840,"No"
"2021-04-03 22:24","Rush","Manhattan Project",304866,"No"
"2021-04-03 22:29","Rush","Turn The Page",295106,"No"
"2021-04-03 22:34","Rush","Prime Mover",318733,"No"
"2021-04-03 22:40","Rush","Red Sector A",309146,"No"
"2021-04-03 22:46","Rush","The Weapon",383400,"No"
"2021-04-03 22:52","Rush","Countdown",350106,"No"
"2021-04-03 22:57","Black Sabbath","Zeitgeist",277786,"No"
"2021-04-03 23:04","Black Sabbath","Damaged Soul",471666,"No"
"2021-04-03 23:08","Rush","A Passage To Bangkok",214893,"No"
"2021-04-03 23:12","Rush","Something For Nothing",238933,"No"
"2021-04-03 23:15","Rush","The Twilight Zone",200066,"No"
"2021-04-03 23:20","Rush","Anthem",261760,"No"
"2021-04-03 23:24","Rush","Bastille Day",277133,"No"
"2021-04-03 23:35","Rush","Xanadu",664853,"No"
"2021-04-03 23:46","Rush","Natural Science",360510,"No"
"2021-04-04 20:34","Blue Öyster Cult","True Confessions",176040,"No"
"2021-04-04 20:37","Blue Öyster Cult","That Was Me",198638,"No"
"2021-04-04 20:41","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",222773,"No"
"2021-04-04 20:45","Blue Öyster Cult","In Thee",230146,"No"
"2021-04-04 20:51","Blue Öyster Cult","Golden Age of Leather",352080,"No"
"2021-04-04 20:55","Blue Öyster Cult","Sole Survivor",246640,"No"
"2021-04-04 21:01","Blue Öyster Cult","Black Blade",399106,"No"
"2021-04-04 21:06","Blue Öyster Cult","Monsters",307133,"No"
"2021-04-04 21:32","David Gilmour","Echoes - Live in Gdansk",1525513,"No"
"2021-04-04 21:43","Rush","The Camera Eye",658986,"No"
"2021-04-04 21:49","Rush","Mystic Rhythms",353840,"No"
"2021-04-04 21:54","Rush","Manhattan Project",304866,"No"
"2021-04-04 21:59","Rush","Turn The Page",295106,"No"
"2021-04-04 22:04","Rush","Prime Mover",318733,"No"
"2021-04-04 22:52","Rush","Red Sector A",302086,"No"
"2021-04-06 01:42","Blue Öyster Cult","I Love the Night",263920,"No"
"2021-04-06 01:45","Blue Öyster Cult","Then Came the Last Days of May",210546,"No"
"2021-04-06 01:50","Blue Öyster Cult","Veteran of the Psychic Wars",289586,"No"
"2021-04-06 01:56","Blue Öyster Cult","Astronomy",383973,"No"
"2021-04-06 02:00","Blue Öyster Cult","Cities On Flame with Rock and Roll",242640,"No"
"2021-04-06 02:04","Blue Öyster Cult","Heavy Metal: The Black and Silver",198360,"No"
"2021-04-06 02:08","Blue Öyster Cult","Death Valley Nights",248320,"No"
"2021-04-06 02:12","Blue Öyster Cult","Fire of Unknown Origin",251440,"No"
"2021-04-06 02:15","Blue Öyster Cult","True Confessions",176040,"No"
"2021-04-06 02:18","Blue Öyster Cult","That Was Me",198638,"No"
"2021-04-06 02:22","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",222773,"No"
"2021-04-06 02:26","Blue Öyster Cult","In Thee",230146,"No"
"2021-04-06 02:32","Blue Öyster Cult","Golden Age of Leather",352080,"No"
"2021-04-06 02:36","Blue Öyster Cult","Sole Survivor",246640,"No"
"2021-04-06 03:46","Blue Öyster Cult","Black Blade",366055,"No"
"2021-04-07 03:30","Geddy Lee","The Angels' Share",273577,"No"
"2021-04-07 03:35","Geddy Lee","Runaway Train",271162,"No"
"2021-04-07 03:40","Geddy Lee","My Favorite Headache",283608,"No"
"2021-04-07 03:54","Geddy Lee","Working at Perfekt",222591,"No"
"2021-04-10 18:30","Rush","Heart Full of Soul",171240,"No"
"2021-04-10 18:33","Rush","For What It's Worth",209626,"No"
"2021-04-10 18:37","Rush","Mr. Soul",229266,"No"
"2021-04-10 18:40","Rush","Shapes of Things",195560,"No"
"2021-04-10 18:43","Rush","Seven and Seven Is",172133,"No"
"2021-04-10 18:48","Rush","Bravado - 2004 Remaster",275120,"No"
"2021-04-10 18:53","Rush","Roll the Bones - 2004 Remaster",329906,"No"
"2021-04-10 18:57","Rush","Where's My Thing - 2004 Remaster",229120,"No"
"2021-04-10 19:03","Rush","Heresy - 2004 Remaster",325440,"No"
"2021-04-10 19:08","Rush","You Bet Your Life - 2004 Remaster",300920,"No"
"2021-04-10 19:13","Rush","The Pass - 2004 Remaster",290653,"No"
"2021-04-10 19:38","Rush","War Paint - 2004 Remaster",324506,"No"
"2021-04-10 19:44","Rush","Presto - 2004 Remaster",345586,"No"
"2021-04-10 19:49","Rush","Red Tide - 2004 Remaster",270426,"No"
"2021-04-10 19:53","Rush","Available Light - 2004 Remaster",271214,"No"
"2021-04-10 20:01","Black Sabbath","Damaged Soul",471666,"No"
"2021-04-10 20:05","Rush","A Passage To Bangkok",214893,"No"
"2021-04-10 20:09","Rush","Something For Nothing",238933,"No"
"2021-04-10 20:12","Rush","The Twilight Zone",200066,"No"
"2021-04-10 20:17","Rush","Anthem",261760,"No"
"2021-04-10 20:21","Rush","Bastille Day",277133,"No"
"2021-04-10 21:34","Rush","Xanadu",662596,"No"
"2021-04-10 21:44","Rush","Natural Science",559893,"No"
"2021-04-10 21:49","Rush","The Analog Kid",287666,"No"
"2021-04-10 21:54","Rush","Afterimage",303640,"No"
"2021-04-10 21:58","Rush","The Enemy Within",274506,"No"
"2021-04-10 22:02","Rush","Circumstances",220333,"No"
"2021-04-10 22:08","Rush","Ghost Rider - 2013 Remix",340650,"No"
"2021-04-10 22:13","Rush","Earthshine - 2013 Remix",337801,"No"
"2021-04-10 22:19","Rush","Between The Wheels",344280,"No"
"2021-04-10 22:29","Rush","La Villa Strangiato",574733,"No"
"2021-04-10 22:32","Blue Öyster Cult","True Confessions",176040,"No"
"2021-04-10 22:35","Blue Öyster Cult","That Was Me",198638,"No"
"2021-04-10 22:39","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",222773,"No"
"2021-04-10 22:43","Blue Öyster Cult","In Thee",230146,"No"
"2021-04-10 22:49","Blue Öyster Cult","Golden Age of Leather",352080,"No"
"2021-04-10 22:53","Blue Öyster Cult","Sole Survivor",246640,"No"
"2021-04-10 23:00","Blue Öyster Cult","Black Blade",399106,"No"
"2021-04-11 01:00","Blue Öyster Cult","Monsters",53605,"No"
"2021-04-11 17:42","Blue Öyster Cult","I Love the Night",263920,"No"
"2021-04-11 17:46","Blue Öyster Cult","Then Came the Last Days of May",210546,"No"
"2021-04-11 17:50","Blue Öyster Cult","Veteran of the Psychic Wars",289586,"No"
"2021-04-11 17:57","Blue Öyster Cult","Astronomy",383973,"No"
"2021-04-11 18:01","Blue Öyster Cult","Cities On Flame with Rock and Roll",242640,"No"
"2021-04-11 18:04","Blue Öyster Cult","Heavy Metal: The Black and Silver",198360,"No"
"2021-04-11 19:50","Blue Öyster Cult","Death Valley Nights",248320,"No"
"2021-04-11 19:54","Blue Öyster Cult","Fire of Unknown Origin",251440,"No"
"2021-04-11 19:57","Blue Öyster Cult","True Confessions",176040,"No"
"2021-04-11 20:01","Blue Öyster Cult","That Was Me",198638,"No"
"2021-04-11 22:14","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",212735,"No"
"2021-04-13 21:59","Rush","The Anarchist - Live R40 Tour",427180,"No"
"2021-04-13 22:07","Rush","Headlong Flight - Live R40 Tour",525722,"No"
"2021-04-13 22:16","Rush","Far Cry - Live R40 Tour",331515,"No"
"2021-04-13 22:22","Rush","The Main Monkey Business - Live R40 Tour",367607,"No"
"2021-04-13 22:27","Rush","How It Is - Live R40 Tour",285407,"No"
"2021-04-13 22:33","Rush","Animate - Live R40 Tour",375034,"No"
"2021-04-14 00:17","Rush","Roll The Bones - Live R40 Tour",297073,"No"
"2021-04-15 23:31","Rush","Roll The Bones - Live R40 Tour",365507,"No"
"2021-04-15 23:37","Rush","Between The Wheels - Live R40 Tour",358047,"No"
"2021-04-15 23:43","Rush","Losing It - Live R40 Tour",355340,"No"
"2021-04-15 23:49","Rush","Subdivisions - Live R40 Tour",348501,"No"
"2021-04-15 23:54","Rush","Tom Sawyer - Live R40 Tour",299558,"No"
"2021-04-15 23:58","Rush","YYZ - Live R40 Tour",271563,"No"
"2021-04-16 00:03","Rush","The Spirit Of Radio - Live R40 Tour",303166,"No"
"2021-04-16 00:12","Rush","Natural Science - Live R40 Tour",511859,"No"
"2021-04-16 00:19","Rush","Jacob's Ladder - Live R40 Tour",454273,"No"
"2021-04-16 00:24","Rush","Hemispheres: Prelude - Live R40 Tour",259338,"No"
