"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"6FRwDxXsvSasw0y2eDArsz","Cream","Sunshine Of Your Love",0.684,0.481,2,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078,250000,4
"2M1LjRepPscLiUM4hydR7B","Rush","Tom Sawyer - R30 Live Version",0.281,0.953,9,-3.033,1,0.0535,0.000177,0.00274,0.964,0.289,86.69,300373,4
"34FEpygxlcPm1tE26YqewO","Rush","Peaceable Kingdom",0.482,0.882,4,-7.731,0,0.0315,0.000613,5.9e-05,0.243,0.612,89.97,323626,4
"4mLbifiule87a2oLrvwLVu","Queen","I Want To Break Free - Remastered 2011",0.796,0.43,4,-8.994,1,0.0325,0.0869,0.000343,0.0776,0.559,108.959,258000,4
"2B36scXmm2xG35ILOJMmxf","Rush","Force Ten",0.432,0.916,2,-7.367,1,0.08,0.158,0.0037,0.0552,0.339,169.156,271400,4
"0kf46oObVRf3L51fHIojEm","Queen","The Invisible Man",0.741,0.64,0,-11.666,1,0.0448,0.122,0.0441,0.303,0.632,119.994,235973,4
"2mvG3Bypm8REk3Nk4tbOO1","Rush","The Weapon - Live - Grace Under Pressure Tour",0.347,0.949,7,-5,1,0.102,0.000955,0.000498,0.951,0.218,116.775,462227,4
"6YwXNlt6nc2uErTLT2xWzV","Queen","I'm Going Slightly Mad - Remastered 2011",0.615,0.807,5,-6.808,1,0.0593,0.574,5.73e-06,0.181,0.326,115.606,248693,4
"1bMEynxrPX5DoPcKTt1yxf","Rush","Seven Cities of Gold",0.505,0.945,4,-5.913,0,0.0525,1.02e-05,0.0685,0.284,0.515,111.975,392200,4
"3MjXl9LMQFEbXa09w914d7","Queen","I Can't Live With You",0.46,0.642,9,-11.988,1,0.0698,0.157,0,0.341,0.458,91.734,273693,4
"5v2vkoTamoisazJFanHJjk","Led Zeppelin","Kashmir - Remaster",0.484,0.609,2,-8.81,1,0.0483,0.448,7e-04,0.0415,0.61,80.483,517120,3
"5RcsVmIjkfNsI42exR4xql","Rush","Sweet Miracle",0.462,0.757,9,-7.036,0,0.0295,0.000415,0.000407,0.0828,0.584,99.988,220809,4
"6l8GvAyoUZwWDgF1e4822w","Queen","Bohemian Rhapsody",0.397,0.386,0,-10.405,0,0.0503,0.271,0,0.188,0.21,144.242,355400,4
"4syPlsQHh78fTKEIEzzSAc","Yes","Cans and Brahms - 2003 Remaster",0.468,0.176,0,-13.043,1,0.0401,0.984,0.888,0.093,0.584,124.741,98307,4
"2GCFcbxm61rSA8gzsDk6NJ","Queen","Hammer To Fall",0.41,0.675,9,-9.033,1,0.0569,0.164,0.000396,0.103,0.566,128.495,266600,4
"3cFUgGMpaynZHiuEqv48qn","Geddy Lee","Runaway Train",0.587,0.845,7,-6.149,1,0.03,0.000322,0.0127,0.158,0.535,119.905,271163,3
"4S2QZuPFZ9qeHW2sonMJS1","Led Zeppelin","Gallows Pole - Remaster",0.399,0.845,2,-8.736,1,0.0369,0.125,0.00109,0.334,0.359,105.911,297929,4
"32L4YJsU0uetIaSwsT7i22","Rush","Red Tide",0.478,0.823,0,-8.06,1,0.0369,0.00807,0.861,0.15,0.525,75.02,264986,4
"5ta0Ra3jMlNWKlSyIML7ZI","Rush","What You're Doing",0.436,0.826,11,-9.457,0,0.0532,0.0305,0.00572,0.128,0.56,99.106,262107,4
"0Da5NUD5HtnPdswApLWUNk","Queen","We Will Rock You (Fast) - Live At The Montreal Forum / November 1981",0.147,0.983,9,-3.996,1,0.176,9.52e-05,0.00878,0.956,0.105,179.193,186107,4
"7l4um9WaXEJOpYmkrXsPsE","Rush","Losing It",0.474,0.645,3,-10.276,0,0.0353,0.0492,0.0299,0.0864,0.321,126.578,292507,4
"6tLKN3h7VxBpwJ2DqVLT4z","Albert King","Born Under A Bad Sign (with Stevie Ray Vaughan)",0.557,0.662,6,-8.619,1,0.0392,0.286,0.0211,0.123,0.838,105.346,218667,4
"4cOqjEZyN13voCKivT0ae2","Blue Öyster Cult","Dominance and Submission",0.396,0.801,1,-6.475,0,0.0915,0.0805,0.0425,0.346,0.676,156.475,322173,4
"5KvOmjiGxUcpkJvKCzHufN","Queen","My Fairy King",0.352,0.529,2,-9.972,0,0.0368,0.503,6.96e-05,0.166,0.267,101.235,246440,4
"59ENhfT8TIFjB30TUVG4PA","Blue Öyster Cult","Transmaniacon MC",0.453,0.757,4,-10.067,0,0.0326,0.0877,0.308,0.242,0.755,143.053,200373,4
"6a4cMRwVA0z8FETARH7PTc","Queen","Breakthru",0.571,0.731,5,-10.659,1,0.056,0.0283,0.0029,0.33,0.328,90.066,248133,4
"0hBby0yygBY1u3m6tSpZgC","Rush","The Camera Eye",0.293,0.787,5,-8.841,1,0.0438,0.00774,0.496,0.392,0.139,165.307,658987,4
